x,y,phi
4.583333333333333925e+00,4.166666666666666297e-01,8.887266846175515767e+00
4.750000000000000000e+00,4.166666666666666297e-01,8.918309228764231378e+00
4.916666666666666075e+00,4.166666666666666297e-01,8.939650509966584835e+00
5.083333333333333037e+00,4.166666666666666297e-01,8.951361954805799215e+00
5.250000000000000000e+00,4.166666666666666297e-01,8.953479297610021703e+00
5.416666666666666075e+00,4.166666666666666297e-01,8.946002900376138101e+00
5.583333333333333037e+00,4.166666666666666297e-01,8.928897618316495866e+00
5.750000000000000000e+00,4.166666666666666297e-01,8.902092367214015312e+00
5.916666666666666963e+00,4.166666666666666297e-01,8.865479380274308596e+00
6.083333333333333925e+00,4.166666666666666297e-01,8.818913134630683714e+00
6.250000000000000000e+00,4.166666666666666297e-01,8.762208919177687960e+00
6.416666666666666075e+00,4.166666666666666297e-01,8.695141005558147285e+00
6.583333333333333037e+00,4.166666666666666297e-01,8.617440372379308045e+00
6.750000000000000000e+00,4.166666666666666297e-01,8.528791918405406847e+00
6.916666666666666963e+00,4.166666666666666297e-01,8.428831082670717123e+00
7.083333333333333925e+00,4.166666666666666297e-01,8.317139766977602378e+00
7.250000000000000000e+00,4.166666666666666297e-01,8.193241427451150471e+00
7.416666666666666075e+00,4.166666666666666297e-01,8.056595164457620584e+00
7.583333333333333037e+00,4.166666666666666297e-01,7.906588591102369890e+00
7.750000000000000000e+00,4.166666666666666297e-01,7.742529195249526985e+00
7.916666666666666075e+00,4.166666666666666297e-01,7.563633822197375345e+00
8.083333333333332149e+00,4.166666666666666297e-01,7.369015785672997865e+00
8.250000000000000000e+00,4.166666666666666297e-01,7.157668950505529537e+00
8.416666666666667851e+00,4.166666666666666297e-01,6.928447902233203060e+00
8.583333333333333925e+00,4.166666666666666297e-01,6.680043000080515547e+00
8.750000000000000000e+00,4.166666666666666297e-01,6.410948663573812212e+00
8.916666666666666075e+00,4.166666666666666297e-01,6.119422624923923415e+00
9.083333333333332149e+00,4.166666666666666297e-01,5.803433052270774439e+00
9.250000000000000000e+00,4.166666666666666297e-01,5.460589445939691977e+00
9.416666666666667851e+00,4.166666666666666297e-01,5.088052340115829963e+00
9.583333333333332149e+00,4.166666666666666297e-01,4.682417321443221425e+00
9.750000000000000000e+00,4.166666666666666297e-01,4.239574628192322336e+00
9.916666666666666075e+00,4.166666666666666297e-01,3.754567878265384628e+00
1.008333333333333215e+01,4.166666666666666297e-01,3.221541771323890302e+00
1.025000000000000000e+01,4.166666666666666297e-01,2.768360721075901143e+00
1.041666666666666607e+01,4.166666666666666297e-01,2.382236381919625057e+00
1.058333333333333215e+01,4.166666666666666297e-01,2.052500510789165400e+00
1.075000000000000000e+01,4.166666666666666297e-01,1.770324156614062616e+00
1.091666666666666607e+01,4.166666666666666297e-01,1.528395303005658068e+00
1.108333333333333393e+01,4.166666666666666297e-01,1.320634265352800485e+00
1.125000000000000000e+01,4.166666666666666297e-01,1.141961799034007630e+00
1.141666666666666607e+01,4.166666666666666297e-01,9.881147280808433297e-01
1.158333333333333393e+01,4.166666666666666297e-01,8.554998323991298559e-01
1.175000000000000000e+01,4.166666666666666297e-01,7.410774700809963367e-01
1.191666666666666785e+01,4.166666666666666297e-01,6.422681487834801528e-01
1.208333333333333215e+01,4.166666666666666297e-01,5.568768860527049114e-01
1.225000000000000000e+01,4.166666666666666297e-01,4.830314798500330853e-01
1.241666666666666785e+01,4.166666666666666297e-01,4.191317660190217453e-01
1.258333333333333215e+01,4.166666666666666297e-01,3.638076404635924854e-01
1.275000000000000000e+01,4.166666666666666297e-01,3.158841382570881096e-01
1.291666666666666607e+01,4.166666666666666297e-01,2.743522422944745798e-01
1.308333333333333215e+01,4.166666666666666297e-01,2.383443784107358299e-01
