x,y,phi
1.250000000000000000e+00,4.166666666666666297e-01,5.731936476248173484e+00
1.416666666666666519e+00,4.166666666666666297e-01,6.045143618300566679e+00
1.583333333333333259e+00,4.166666666666666297e-01,6.335538751275559655e+00
1.750000000000000000e+00,4.166666666666666297e-01,6.604775592752498703e+00
1.916666666666666519e+00,4.166666666666666297e-01,6.854306951276028848e+00
2.083333333333333481e+00,4.166666666666666297e-01,7.085415381328624918e+00
2.250000000000000000e+00,4.166666666666666297e-01,7.299237686730603691e+00
2.416666666666666963e+00,4.166666666666666297e-01,7.496784697734486969e+00
2.583333333333333037e+00,4.166666666666666297e-01,7.678957375524609219e+00
2.750000000000000000e+00,4.166666666666666297e-01,7.846560030752156578e+00
2.916666666666666519e+00,4.166666666666666297e-01,8.000311249309332240e+00
3.083333333333333037e+00,4.166666666666666297e-01,8.140852977192380990e+00
3.250000000000000000e+00,4.166666666666666297e-01,8.268758112004983118e+00
3.416666666666666519e+00,4.166666666666666297e-01,8.384536870731444935e+00
3.583333333333333037e+00,4.166666666666666297e-01,8.488642144644623855e+00
3.750000000000000000e+00,4.166666666666666297e-01,8.581474007334243481e+00
3.916666666666666519e+00,4.166666666666666297e-01,8.663383507237064407e+00
4.083333333333333925e+00,4.166666666666666297e-01,8.734675848980780088e+00
4.250000000000000000e+00,4.166666666666666297e-01,8.795613046540179170e+00
4.416666666666666963e+00,4.166666666666666297e-01,8.846416114042545686e+00
4.583333333333333925e+00,4.166666666666666297e-01,8.887266846199285197e+00
4.750000000000000000e+00,4.166666666666666297e-01,8.918309228794507604e+00
4.916666666666666075e+00,4.166666666666666297e-01,8.939650510000511474e+00
5.083333333333333037e+00,4.166666666666666297e-01,8.951361954840997726e+00
5.250000000000000000e+00,4.166666666666666297e-01,8.953479297645836610e+00
5.416666666666666075e+00,4.166666666666666297e-01,8.946002900410629621e+00
5.583333333333333037e+00,4.166666666666666297e-01,8.928897618349344256e+00
5.750000000000000000e+00,4.166666666666666297e-01,8.902092367244380355e+00
5.916666666666666963e+00,4.166666666666666297e-01,8.865479380303010970e+00
6.083333333333333925e+00,4.166666666666666297e-01,8.818913134657416109e+00
6.250000000000000000e+00,4.166666666666666297e-01,8.762208919205002999e+00
6.416666666666666075e+00,4.166666666666666297e-01,8.695141005586757288e+00
6.583333333333333037e+00,4.166666666666666297e-01,8.617440372410207772e+00
6.750000000000000000e+00,4.166666666666666297e-01,8.528791918436686714e+00
6.916666666666666963e+00,4.166666666666666297e-01,8.428831082702220812e+00
7.083333333333333925e+00,4.166666666666666297e-01,8.317139767007805773e+00
7.250000000000000000e+00,4.166666666666666297e-01,8.193241427480613126e+00
7.416666666666666075e+00,4.166666666666666297e-01,8.056595164487658778e+00
7.583333333333333037e+00,4.166666666666666297e-01,7.906588591133905553e+00
7.750000000000000000e+00,4.166666666666666297e-01,7.742529195283151644e+00
7.916666666666666075e+00,4.166666666666666297e-01,7.563633822229378190e+00
8.083333333333332149e+00,4.166666666666666297e-01,7.369015785702051957e+00
8.250000000000000000e+00,4.166666666666666297e-01,7.157668950533008001e+00
8.416666666666667851e+00,4.166666666666666297e-01,6.928447902259630808e+00
8.583333333333333925e+00,4.166666666666666297e-01,6.680043000105737150e+00
8.750000000000000000e+00,4.166666666666666297e-01,6.410948663599486785e+00
8.916666666666666075e+00,4.166666666666666297e-01,6.119422624948197331e+00
9.083333333333332149e+00,4.166666666666666297e-01,5.803433052291993022e+00
9.250000000000000000e+00,4.166666666666666297e-01,5.460589445957717558e+00
9.416666666666667851e+00,4.166666666666666297e-01,5.088052340132878548e+00
9.583333333333332149e+00,4.166666666666666297e-01,4.682417321458816950e+00
9.750000000000000000e+00,4.166666666666666297e-01,4.239574628206712603e+00
9.916666666666666075e+00,4.166666666666666297e-01,3.754567878276646287e+00
1.008333333333333215e+01,4.166666666666666297e-01,3.221541771331681403e+00
1.025000000000000000e+01,4.166666666666666297e-01,2.768360721082029130e+00
1.041666666666666607e+01,4.166666666666666297e-01,2.382236381926043478e+00
1.058333333333333215e+01,4.166666666666666297e-01,2.052500510793245247e+00
1.075000000000000000e+01,4.166666666666666297e-01,1.770324156615958433e+00
1.091666666666666607e+01,4.166666666666666297e-01,1.528395303005443795e+00
1.108333333333333393e+01,4.166666666666666297e-01,1.320634265352584658e+00
1.125000000000000000e+01,4.166666666666666297e-01,1.141961799032781943e+00
1.141666666666666607e+01,4.166666666666666297e-01,9.881147280779601916e-01
1.158333333333333393e+01,4.166666666666666297e-01,8.554998323950466776e-01
1.175000000000000000e+01,4.166666666666666297e-01,7.410774700768411050e-01
1.191666666666666785e+01,4.166666666666666297e-01,6.422681487775743214e-01
1.208333333333333215e+01,4.166666666666666297e-01,5.568768860469696103e-01
1.225000000000000000e+01,4.166666666666666297e-01,4.830314798440821789e-01
1.241666666666666785e+01,4.166666666666666297e-01,4.191317660123421440e-01
1.258333333333333215e+01,4.166666666666666297e-01,3.638076404560375288e-01
1.275000000000000000e+01,4.166666666666666297e-01,3.158841382480804816e-01
1.291666666666666607e+01,4.166666666666666297e-01,2.743522422880371181e-01
1.308333333333333215e+01,4.166666666666666297e-01,2.383443784068552673e-01
1.325000000000000000e+01,4.166666666666666297e-01,2.071137689246020375e-01
1.341666666666666607e+01,4.166666666666666297e-01,1.800169811818065346e-01
1.358333333333333393e+01,4.166666666666666297e-01,1.564991350615144439e-01
1.375000000000000000e+01,4.166666666666666297e-01,1.360813332474191117e-01
1.391666666666666607e+01,4.166666666666666297e-01,1.183499567850559153e-01
1.408333333333333393e+01,4.166666666666666297e-01,1.029475313830792854e-01
1.425000000000000000e+01,4.166666666666666297e-01,8.956492045396956259e-02
1.441666666666666785e+01,4.166666666666666297e-01,7.793464178383191499e-02
1.458333333333333215e+01,4.166666666666666297e-01,6.782513818474025791e-02
1.475000000000000000e+01,4.166666666666666297e-01,5.903585973832827655e-02
1.491666666666666785e+01,4.166666666666666297e-01,5.139303793848515323e-02
1.508333333333333215e+01,4.166666666666666297e-01,4.474605060778590049e-02
1.525000000000000000e+01,4.166666666666666297e-01,3.896429212310165840e-02
1.541666666666666607e+01,4.166666666666666297e-01,3.393447641408295357e-02
